_time,_measurement,_field,_value
2023-07-06 12:44:23.733267+02:00,PC,GPU_temp,69.0
2023-07-06 12:44:34.838853+02:00,PC,GPU_temp,70.0
2023-07-06 12:44:44.910513+02:00,PC,GPU_temp,69.0
2023-07-06 12:44:56.018916+02:00,PC,GPU_temp,70.0
2023-07-06 12:45:06.078397+02:00,PC,GPU_temp,69.0
2023-07-06 12:45:17.192856+02:00,PC,GPU_temp,70.0
2023-07-06 12:45:27.241768+02:00,PC,GPU_temp,69.0
2023-07-06 12:45:38.375478+02:00,PC,GPU_temp,69.0
2023-07-06 12:45:48.413593+02:00,PC,GPU_temp,69.0
2023-07-06 12:45:59.549581+02:00,PC,GPU_temp,69.0
2023-07-06 12:46:09.623366+02:00,PC,GPU_temp,69.0
2023-07-06 12:46:20.825737+02:00,PC,GPU_temp,69.0
2023-07-06 12:46:30.842865+02:00,PC,GPU_temp,69.0
2023-07-06 12:46:41.987400+02:00,PC,GPU_temp,69.0
2023-07-06 12:46:52.037494+02:00,PC,GPU_temp,69.0
2023-07-06 12:47:03.117227+02:00,PC,GPU_temp,69.0
2023-07-06 12:47:13.203660+02:00,PC,GPU_temp,69.0
2023-07-06 12:47:24.271411+02:00,PC,GPU_temp,70.0
2023-07-06 12:47:34.373718+02:00,PC,GPU_temp,69.0
2023-07-06 12:47:45.456135+02:00,PC,GPU_temp,69.0
2023-07-06 12:47:55.541677+02:00,PC,GPU_temp,69.0
2023-07-06 12:48:06.614196+02:00,PC,GPU_temp,69.0
2023-07-06 12:48:16.703752+02:00,PC,GPU_temp,69.0
2023-07-06 12:48:27.798526+02:00,PC,GPU_temp,69.0
2023-07-06 12:48:37.867409+02:00,PC,GPU_temp,69.0
2023-07-06 12:48:48.990008+02:00,PC,GPU_temp,69.0
2023-07-06 12:48:59.065896+02:00,PC,GPU_temp,69.0
2023-07-06 12:49:10.181672+02:00,PC,GPU_temp,70.0
2023-07-06 12:49:20.221811+02:00,PC,GPU_temp,69.0
2023-07-06 12:49:31.356113+02:00,PC,GPU_temp,70.0
2023-07-06 12:49:41.397891+02:00,PC,GPU_temp,69.0
2023-07-06 12:49:52.520777+02:00,PC,GPU_temp,70.0
2023-07-06 12:50:02.613221+02:00,PC,GPU_temp,69.0
2023-07-06 12:50:13.704752+02:00,PC,GPU_temp,69.0
2023-07-06 12:50:23.791650+02:00,PC,GPU_temp,69.0
2023-07-06 12:50:34.910449+02:00,PC,GPU_temp,70.0
2023-07-06 12:50:44.925002+02:00,PC,GPU_temp,69.0
2023-07-06 12:50:56.057700+02:00,PC,GPU_temp,69.0
2023-07-06 12:51:06.104738+02:00,PC,GPU_temp,69.0
2023-07-06 12:51:17.218739+02:00,PC,GPU_temp,69.0
2023-07-06 12:51:27.607902+02:00,PC,GPU_temp,69.0
2023-07-06 12:51:37.687119+02:00,PC,GPU_temp,68.0
2023-07-06 12:51:48.809689+02:00,PC,GPU_temp,69.0
2023-07-06 12:51:58.884025+02:00,PC,GPU_temp,69.0
2023-07-06 12:52:09.981527+02:00,PC,GPU_temp,69.0
2023-07-06 12:52:20.055587+02:00,PC,GPU_temp,69.0
2023-07-06 12:52:31.200034+02:00,PC,GPU_temp,69.0
2023-07-06 12:52:41.633560+02:00,PC,GPU_temp,69.0
2023-07-06 12:52:51.695078+02:00,PC,GPU_temp,69.0
2023-07-06 12:53:02.768221+02:00,PC,GPU_temp,69.0
2023-07-06 12:53:12.806479+02:00,PC,GPU_temp,69.0
2023-07-06 12:53:23.905253+02:00,PC,GPU_temp,69.0
2023-07-06 12:53:33.984918+02:00,PC,GPU_temp,69.0
2023-07-06 12:53:45.103554+02:00,PC,GPU_temp,69.0
2023-07-06 12:53:55.154410+02:00,PC,GPU_temp,69.0
2023-07-06 12:54:06.290237+02:00,PC,GPU_temp,69.0
2023-07-06 12:54:16.315235+02:00,PC,GPU_temp,69.0
2023-07-06 12:54:27.412667+02:00,PC,GPU_temp,69.0
2023-07-06 12:54:37.488200+02:00,PC,GPU_temp,69.0
2023-07-06 12:54:48.598502+02:00,PC,GPU_temp,69.0
2023-07-06 12:54:58.991153+02:00,PC,GPU_temp,69.0
2023-07-06 12:55:09.062153+02:00,PC,GPU_temp,68.0
2023-07-06 12:55:20.204581+02:00,PC,GPU_temp,69.0
2023-07-06 12:55:30.222774+02:00,PC,GPU_temp,69.0
2023-07-06 12:55:41.348927+02:00,PC,GPU_temp,69.0
2023-07-06 12:55:51.427735+02:00,PC,GPU_temp,69.0
2023-07-06 12:56:02.514740+02:00,PC,GPU_temp,69.0
2023-07-06 12:56:12.566225+02:00,PC,GPU_temp,69.0
2023-07-06 12:56:23.716652+02:00,PC,GPU_temp,69.0
2023-07-06 12:56:34.126627+02:00,PC,GPU_temp,69.0
2023-07-06 12:56:44.489641+02:00,PC,GPU_temp,68.0
2023-07-06 12:56:54.568415+02:00,PC,GPU_temp,68.0
2023-07-06 12:57:05.733796+02:00,PC,GPU_temp,69.0
2023-07-06 12:57:15.783453+02:00,PC,GPU_temp,68.0
2023-07-06 12:57:26.899896+02:00,PC,GPU_temp,69.0
2023-07-06 12:57:36.961651+02:00,PC,GPU_temp,69.0
2023-07-06 12:57:48.101294+02:00,PC,GPU_temp,69.0
2023-07-06 12:57:58.210252+02:00,PC,GPU_temp,69.0
2023-07-06 12:58:09.317669+02:00,PC,GPU_temp,69.0
2023-07-06 12:58:19.647949+02:00,PC,GPU_temp,69.0
2023-07-06 12:58:29.720226+02:00,PC,GPU_temp,68.0
2023-07-06 12:58:40.833049+02:00,PC,GPU_temp,69.0
2023-07-06 12:58:50.918583+02:00,PC,GPU_temp,69.0
2023-07-06 12:59:02.091290+02:00,PC,GPU_temp,69.0
2023-07-06 12:59:12.132385+02:00,PC,GPU_temp,69.0
2023-07-06 12:59:23.244527+02:00,PC,GPU_temp,69.0
2023-07-06 12:59:33.626247+02:00,PC,GPU_temp,69.0
2023-07-06 12:59:43.697156+02:00,PC,GPU_temp,68.0
2023-07-06 12:59:54.860335+02:00,PC,GPU_temp,69.0
2023-07-06 13:00:04.848206+02:00,PC,GPU_temp,69.0
2023-07-06 13:00:15.955365+02:00,PC,GPU_temp,70.0
2023-07-06 13:00:26.001812+02:00,PC,GPU_temp,69.0
2023-07-06 13:00:37.089695+02:00,PC,GPU_temp,70.0
2023-07-06 13:00:47.477922+02:00,PC,GPU_temp,69.0
2023-07-06 13:00:57.568894+02:00,PC,GPU_temp,68.0
2023-07-06 13:01:08.681016+02:00,PC,GPU_temp,69.0
2023-07-06 13:01:18.749563+02:00,PC,GPU_temp,68.0
2023-07-06 13:01:29.848715+02:00,PC,GPU_temp,69.0
2023-07-06 13:01:40.191523+02:00,PC,GPU_temp,69.0
2023-07-06 13:01:50.270457+02:00,PC,GPU_temp,68.0
2023-07-06 13:02:01.379448+02:00,PC,GPU_temp,69.0
2023-07-06 13:02:11.488802+02:00,PC,GPU_temp,69.0
2023-07-06 13:02:22.567360+02:00,PC,GPU_temp,69.0
2023-07-06 13:02:32.886388+02:00,PC,GPU_temp,69.0
2023-07-06 13:02:42.993230+02:00,PC,GPU_temp,69.0
2023-07-06 13:02:54.103263+02:00,PC,GPU_temp,69.0
2023-07-06 13:03:04.167633+02:00,PC,GPU_temp,69.0
2023-07-06 13:03:15.257047+02:00,PC,GPU_temp,69.0
2023-07-06 13:03:25.303554+02:00,PC,GPU_temp,69.0
